,StateFips,CountyFips,County,,,,,,FIPS
AL,1,1,autauga,County,H1,,,,1001
AL,1,3,baldwin,County,H1,,,,1003
AL,1,5,barbour,County,H1,,,,1005
AL,1,7,bibb,County,H1,,,,1007
AL,1,9,blount,County,H1,,,,1009
AL,1,11,bullock,County,H1,,,,1011
AL,1,13,butler,County,H1,,,,1013
AL,1,15,calhoun,County,H1,,,,1015
AL,1,17,chambers,County,H1,,,,1017
AL,1,19,cherokee,County,H1,,,,1019
AL,1,21,chilton,County,H1,,,,1021
AL,1,23,choctaw,County,H1,,,,1023
AL,1,25,clarke,County,H1,,,,1025
AL,1,27,clay,County,H1,,,,1027
AL,1,29,cleburne,County,H1,,,,1029
AL,1,31,coffee,County,H1,,,,1031
AL,1,33,colbert,County,H1,,,,1033
AL,1,35,conecuh,County,H1,,,,1035
AL,1,37,coosa,County,H1,,,,1037
AL,1,39,covington,County,H1,,,,1039
AL,1,41,crenshaw,County,H1,,,,1041
AL,1,43,cullman,County,H1,,,,1043
AL,1,45,dale,County,H1,,,,1045
AL,1,47,dallas,County,H1,,,,1047
AL,1,49,dekalb,County,H1,,,,1049
AL,1,51,elmore,County,H1,,,,1051
AL,1,53,escambia,County,H1,,,,1053
AL,1,55,etowah,County,H1,,,,1055
AL,1,57,fayette,County,H1,,,,1057
AL,1,59,franklin,County,H1,,,,1059
AL,1,61,geneva,County,H1,,,,1061
AL,1,63,greene,County,H1,,,,1063
AL,1,65,hale,County,H1,,,,1065
AL,1,67,henry,County,H1,,,,1067
AL,1,69,houston,County,H1,,,,1069
AL,1,71,jackson,County,H1,,,,1071
AL,1,73,jefferson,County,H1,,,,1073
AL,1,75,lamar,County,H1,,,,1075
AL,1,77,lauderdale,County,H1,,,,1077
AL,1,79,lawrence,County,H1,,,,1079
AL,1,81,lee,County,H1,,,,1081
AL,1,83,limestone,County,H1,,,,1083
AL,1,85,lowndes,County,H1,,,,1085
AL,1,87,macon,County,H1,,,,1087
AL,1,89,madison,County,H1,,,,1089
AL,1,91,marengo,County,H1,,,,1091
AL,1,93,marion,County,H1,,,,1093
AL,1,95,marshall,County,H1,,,,1095
AL,1,97,mobile,County,H1,,,,1097
AL,1,99,monroe,County,H1,,,,1099
AL,1,101,montgomery,County,H1,,,,1101
AL,1,103,morgan,County,H1,,,,1103
AL,1,105,perry,County,H1,,,,1105
AL,1,107,pickens,County,H1,,,,1107
AL,1,109,pike,County,H1,,,,1109
AL,1,111,randolph,County,H1,,,,1111
AL,1,113,russell,County,H1,,,,1113
AL,1,115,saintclair,,County,H1,,,1115
AL,1,117,shelby,County,H1,,,,1117
AL,1,119,sumter,County,H1,,,,1119
AL,1,121,talladega,County,H1,,,,1121
AL,1,123,tallapoosa,County,H1,,,,1123
AL,1,125,tuscaloosa,County,H1,,,,1125
AL,1,127,walker,County,H1,,,,1127
AL,1,129,washington,County,H1,,,,1129
AL,1,131,wilcox,County,H1,,,,1131
AL,1,133,winston,County,H1,,,,1133
AK,2,13,aleutians,East,Borough,H1,,,2013
AK,2,16,aleutians,West,Census,Area,H5,,2016
AK,2,20,anchorage,Municipality,H6,,,,2020
AK,2,50,bethel,Census,Area,H5,,,2050
AK,2,60,bristol,Bay,Borough,H1,,,2060
AK,2,68,denali,Borough,H1,,,,2068
AK,2,70,dillingham,Census,Area,H5,,,2070
AK,2,90,fairbanks,North,Star,Borough,H1,,2090
AK,2,100,haines,Borough,H1,,,,2100
AK,2,105,hoonah-angoon,Census,Area,H5,,,2105
AK,2,110,juneau,City,and,Borough,H6,,2110
AK,2,122,kenai,Peninsula,Borough,H1,,,2122
AK,2,130,ketchikan,Gateway,Borough,H1,,,2130
AK,2,150,kodiak,Island,Borough,H1,,,2150
AK,2,164,lake,and,Peninsula,Borough,H1,,2164
AK,2,170,matanuska-susitna,Borough,H1,,,,2170
AK,2,180,nome,Census,Area,H5,,,2180
AK,2,185,north,Slope,Borough,H1,,,2185
AK,2,188,northwest,Arctic,Borough,H1,,,2188
AK,2,195,petersburg,Census,Area,H5,,,2195
AK,2,198,prince,of,Wales-Hyder,Census,Area,H5,2198
AK,2,220,sitka,City,and,Borough,H6,,2220
AK,2,230,skagway,Municipality,H1,,,,2230
