STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE,
,,,,,,,
1,1,Autauga,Alabama,54571,32.500389,-86.494165,1001
,,,,,,,0
1,3,Baldwin,Alabama,182265,30.548923,-87.762381,1003
,,,,,,,0
1,5,Barbour,Alabama,27457,31.844036,-85.310038,1005
,,,,,,,0
1,7,Bibb,Alabama,22915,33.030921,-87.127659,1007
,,,,,,,0
1,9,Blount,Alabama,57322,33.955243,-86.591491,1009
,,,,,,,0
1,11,Bullock,Alabama,10914,32.116327,-85.701192,1011
,,,,,,,0
1,13,Butler,Alabama,20947,31.773539,-86.65355,1013
,,,,,,,0
1,15,Calhoun,Alabama,118572,33.72546,-85.819442,1015
,,,,,,,0
1,17,Chambers,Alabama,34215,32.860439,-85.266474,1017
,,,,,,,0
1,19,Cherokee,Alabama,25989,34.179333,-85.629194,1019
,,,,,,,0
1,21,Chilton,Alabama,43643,32.877547,-86.687406,1021
,,,,,,,0
1,23,Choctaw,Alabama,13859,32.016562,-88.264164,1023
,,,,,,,0
1,25,Clarke,Alabama,25833,31.685685,-87.815673,1025
,,,,,,,0
1,27,Clay,Alabama,13932,33.272412,-85.820227,1027
,,,,,,,0
1,29,Cleburne,Alabama,14972,33.62977,-85.494315,1029
,,,,,,,0
1,31,Coffee,Alabama,49948,31.354433,-85.904715,1031
,,,,,,,0
1,33,Colbert,Alabama,54428,34.723385,-87.685151,1033
,,,,,,,0
1,35,Conecuh,Alabama,13228,31.418674,-86.996483,1035
,,,,,,,0
1,37,Coosa,Alabama,11539,32.975932,-86.155035,1037
,,,,,,,0
1,39,Covington,Alabama,37765,31.282449,-86.410955,1039
,,,,,,,0
1,41,Crenshaw,Alabama,13906,31.743487,-86.29708,1041
,,,,,,,0
1,43,Cullman,Alabama,80406,34.162362,-86.831859,1043
,,,,,,,0
1,45,Dale,Alabama,50251,31.383346,-85.641269,1045
,,,,,,,0
1,47,Dallas,Alabama,43820,32.408815,-87.034955,1047
,,,,,,,0
1,49,DeKalb,Alabama,71109,34.45511,-85.817208,1049
,,,,,,,0
1,51,Elmore,Alabama,79303,32.559652,-86.225647,1051
,,,,,,,0
1,53,Escambia,Alabama,38319,31.088737,-87.282053,1053
,,,,,,,0
1,55,Etowah,Alabama,104430,34.013693,-86.025393,1055
,,,,,,,0
1,57,Fayette,Alabama,17241,33.726422,-87.770355,1057
,,,,,,,0
1,59,Franklin,Alabama,31704,34.460481,-87.793594,1059
,,,,,,,0
1,61,Geneva,Alabama,26790,31.09426,-85.788849,1061
,,,,,,,0
1,63,Greene,Alabama,9045,32.830505,-87.924,1063
,,,,,,,0
1,65,Hale,Alabama,15760,32.775804,-87.626084,1065
,,,,,,,0
1,67,Henry,Alabama,17302,31.478593,-85.268828,1067
,,,,,,,0
1,69,Houston,Alabama,101547,31.20455,-85.391221,1069
,,,,,,,0
1,71,Jackson,Alabama,53227,34.731984,-85.938698,1071
,,,,,,,0
1,73,Jefferson,Alabama,658466,33.518601,-86.814688,1073
,,,,,,,0
1,75,Lamar,Alabama,14564,33.762769,-88.109649,1075
,,,,,,,0
1,77,Lauderdale,Alabama,92709,34.866179,-87.608759,1077
,,,,,,,0
1,79,Lawrence,Alabama,34339,34.543683,-87.272414,1079
,,,,,,,0
1,81,Lee,Alabama,140247,32.588092,-85.345833,1081
,,,,,,,0
1,83,Limestone,Alabama,82782,34.815612,-86.938972,1083
,,,,,,,0
1,85,Lowndes,Alabama,11299,32.162415,-86.618688,1085
,,,,,,,0
1,87,Macon,Alabama,21452,32.425739,-85.715007,1087
,,,,,,,0
1,89,Madison,Alabama,334811,34.746392,-86.613232,1089
,,,,,,,0
1,91,Marengo,Alabama,21027,32.340479,-87.800648,1091
,,,,,,,0
1,93,Marion,Alabama,30776,34.111797,-87.8743,1093
,,,,,,,0
1,95,Marshall,Alabama,93019,34.311974,-86.293279,1095
,,,,,,,0
1,97,Mobile,Alabama,412992,30.683993,-88.170637,1097
,,,,,,,0
1,99,Monroe,Alabama,23068,31.505611,-87.360894,1099
,,,,,,,0
1,101,Montgomery,Alabama,229363,32.346175,-86.243797,1101
,,,,,,,0
1,103,Morgan,Alabama,119490,34.514252,-86.930781,1103
,,,,,,,0
1,105,Perry,Alabama,10591,32.581066,-87.369219,1105
,,,,,,,0
1,107,Pickens,Alabama,19746,33.292973,-88.066472,1107
,,,,,,,0
1,109,Pike,Alabama,32899,31.787277,-85.948647,1109
,,,,,,,0
1,111,Randolph,Alabama,22913,33.257607,-85.427266,1111
,,,,,,,0
1,113,Russell,Alabama,52947,32.421972,-85.062843,1113
,,,,,,,0
1,115,saint Clair,Alabama,83593,33.660628,-86.369107,1115
,,,,,,,0
1,117,Shelby,Alabama,195085,33.290719,-86.737978,1117
,,,,,,,0
1,119,Sumter,Alabama,13763,32.57442,-88.232646,1119
,,,,,,,0
1,121,Talladega,Alabama,82291,33.372083,-86.169238,1121
,,,,,,,0
1,123,Tallapoosa,Alabama,41616,32.85306,-85.864503,1123
,,,,,,,0
1,125,Tuscaloosa,Alabama,194656,33.214154,-87.520229,1125
,,,,,,,0
1,127,Walker,Alabama,67023,33.834858,-87.253922,1127
,,,,,,,0
1,129,Washington,Alabama,17581,31.410368,-88.18612,1129
,,,,,,,0
1,131,Wilcox,Alabama,11670,31.999753,-87.380407,1131
,,,,,,,0
1,133,Winston,Alabama,24484,34.163824,-87.415693,1133
,,,,,,,0
2,13,Aleutians East,Alaska,3141,54.860151,-162.901536,2013
,,,,,,,0
2,16,Aleutians West,Alaska,5561,54.023571,-168.292885,2016
,,,,,,,0
2,20,Anchorage,Alaska,291826,61.192232,-149.793182,2020
,,,,,,,0
2,50,Bethel,Alaska,17013,60.679946,-162.151263,2050
,,,,,,,0
2,60,Bristol Bay,Alaska,997,58.735464,-156.834047,2060
,,,,,,,0
2,68,Denali,Alaska,1826,63.882845,-149.032949,2068
,,,,,,,0
2,70,Dillingham,Alaska,4847,59.136256,-158.718472,2070
,,,,,,,0
2,90,Fairbanks North Star,Alaska,97581,64.831552,-147.624018,2090
,,,,,,,0
2,100,Haines,Alaska,2508,59.264125,-135.559897,2100
,,,,,,,0
2,105,Hoonah-Angoon,Alaska,2150,58.078282,-135.384163,2105
,,,,,,,0
2,110,Juneau,Alaska,31275,58.358516,-134.530605,2110
,,,,,,,0
2,122,Kenai Peninsula,Alaska,55400,60.292592,-151.064475,2122
,,,,,,,0
